step_idx,timestep,feature_ids,feature_scales,main_injection_value,baseline_value,early_injection_value,late_injection_value
0,958,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004064496365259629,0.004064496365259629,0.004064496365259629,0.004064496365259629
1,925,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004909862921316233,0.004909862921316233,0.004892834142324887,0.004909862921316233
2,892,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004612441112783472,0.004612441112783472,0.004753519432938447,0.004612441112783472
3,859,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004782816317522531,0.004782816317522531,0.004992826243231718,0.004782816317522531
4,826,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.004430304658566087,0.004430304658566087,0.0044888768526121225,0.004430304658566087
5,793,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003906527890315203,0.003906527890315203,0.004143580327649943,0.003906527890315203
6,760,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0040407934753119434,0.004103619798286218,0.004248712963971002,0.004103619798286218
7,727,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003778929068559478,0.003987456350621699,0.003732234924370914,0.003987456350621699
8,694,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.00321875905015645,0.0035665536765208117,0.0035187551948396845,0.0035665536765208117
9,661,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0031768497762314496,0.0032204116733254295,0.003400199905101431,0.0032204116733254295
10,628,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0031992759058709908,0.0031255910561824862,0.0033292300070328906,0.0031255910561824862
11,595,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0029232608427633977,0.0027371687678794387,0.003392798777532846,0.0027371687678794387
12,562,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.002764676163629076,0.0030028237074422037,0.003696446893599159,0.0030028237074422037
13,529,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.002805405070276379,0.0029415815822524394,0.003956692719611965,0.0029415815822524394
14,496,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.002828231289498717,0.002818152026122789,0.003992672552719512,0.002818152026122789
15,463,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0030965051954439105,0.00307258621531048,0.0040244631098147465,0.00307258621531048
16,430,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0031402895970984446,0.0030614667112445204,0.003854570912778854,0.0030614667112445204
17,397,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003112130235422228,0.0033085219630635265,0.003648060696889388,0.0033085219630635265
18,364,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0029723224457214314,0.0035493057815472184,0.003596551112451607,0.0035493057815472184
19,331,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0032093753804787184,0.0036319008243168582,0.003275590452414434,0.0036319008243168582
20,298,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0034691369953065987,0.003526963704842956,0.0025813043185536344,0.003526963704842956
21,265,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0034625686033393777,0.003625275259054206,0.002755052810535119,0.003625275259054206
22,232,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0034754659525901843,0.0036080889653362647,0.0027341598841346126,0.0036080889653362647
23,199,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0037232339909110124,0.0036862209635728505,0.0027329152307800086,0.0036862209635728505
24,166,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0036081165918773195,0.0033873327949720533,0.0026113193064247753,0.00355385739814551
25,133,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0033323441752202143,0.003243822192814605,0.00266990687747537,0.003437892451273683
26,100,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003067454648146395,0.0032864135635861658,0.0024489592995671217,0.003356625140355618
27,67,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.003041719835309209,0.0030399286234725764,0.002861607875004779,0.0031367411024518788
28,34,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0023997360054863748,0.0026317994402944578,0.0025243472691158786,0.002368896746972382
29,1,2758 4052 919 473 366 878 2229 2215 2932 2091,0.006224330514669418 0.005031862761825323 0.00404663709923625 0.00349993584677577 0.002999882912263274 0.002881488762795925 0.002654273994266987 0.0024882021825760603 0.0024667761754244566 0.0023173089139163494,0.0015436578728440509,0.0014058636359663979,0.0014362000413754572,0.0017327917132092807
